realty_id,type,offer_type,square_meters,year_built,land_area,total_floors,floor,registered,heating_type,total_rooms,total_bathrooms,price,city,quarter,webpage
17746,kuca,prodaja,3074.0,2019,,,,,"Samostalno, Klima",,,15000000.0,Beograd,Dedinje (Beli dvor),https://www.nekretnine.rs/stambeni-objekti/kuce/savski-venac-dedinje-heroja-milana-tepica-3074m2-heroja-milana-tepica/NkOg3fBKID0/
17685,kuca,prodaja,480.0,2019,620.0,3,,,,4,,2000000.0,Tivat,,https://www.nekretnine.rs/stambeni-objekti/kuce/lustica-mestrovici---dizajnerska-kamena-vila-sa-izuzetnim-pogledom-na-more/NkZyp2o-8y1/
14681,stan,prodaja,260.0,2019,,,,True,Klima,4,2,1500000.0,Beograd,Dedinje (RTV Pink),https://www.nekretnine.rs/stambeni-objekti/stanovi/4-0-dedinje-ultra-luksuzan-nov-stan-top-ponuda--id1461/NkhtFDjjzUn/
8118,stan,prodaja,330.0,2019,,,5,,,6,,795000.0,Beograd,Vračar (Centar),https://www.nekretnine.rs/stambeni-objekti/stanovi/vracar-penthouse-retko-u-ponudi/Nk7OmI5O149/
12968,stan,prodaja,91.0,2019,,,28,,Centralno,3,,732888.0,Beograd,Beograd na vodi,https://www.nekretnine.rs/stambeni-objekti/stanovi/prodajemo-ekskluzivan-trosoban-stan-u-beogradu-na-vodi/NkuF_sosICo/
20799,kuca,prodaja,365.0,2019,,,,True,Samostalno,7,,700000.0,Beograd,Košutnjak,https://www.nekretnine.rs/stambeni-objekti/kuce/luksuzna-kuca-na-9-ari-placa/NkZdn_qYHiJ/
12881,stan,prodaja,167.0,2019,,,2,True,Centralno,4,,650000.0,Beograd,Dedinje (Beli dvor),https://www.nekretnine.rs/stambeni-objekti/stanovi/prodajemo-uknjizen-troiposoban-stan-u-novogradnji-na-dedinju/NkuoKOfOvOx/
12691,stan,prodaja,205.0,2019,,,6,True,"Centralno, Klima",3,3,600000.0,Beograd,Čubura,https://www.nekretnine.rs/stambeni-objekti/stanovi/vracar-cubura-30-id7293/Nk3LzICoMcbU/
12905,stan,prodaja,135.0,2019,,,2,True,Centralno,2,,594000.0,Beograd,Dedinje (Beli dvor),https://www.nekretnine.rs/stambeni-objekti/stanovi/prodajemo-uknjizen-luksuzan-stan-na-dedinju/NktWzbke8j5/
15826,stan,prodaja,325.0,2019,,,6,,Centralno,5,3,575500.0,Beograd,Centar (uži),https://www.nekretnine.rs/stambeni-objekti/stanovi/centar-urbanville-penthaus-177m2ter-148m2-vi-cg-id1009/NkaWAcjGouI8/
13078,stan,prodaja,60.0,2019,,,30,,Centralno,2,,486888.0,Beograd,Beograd na vodi,https://www.nekretnine.rs/stambeni-objekti/stanovi/prodajemo-ekskluzivan-dvosoban-stan-u-beogradu-na-vodi/NkW86kL6NuQN/
9049,stan,prodaja,162.0,2019,,,4,,Centralno,4,4,486000.0,Beograd,Čubura,https://www.nekretnine.rs/stambeni-objekti/stanovi/vracar-cubura-40-id5396/NkPf7y1M__Nw/
11714,stan,prodaja,199.0,2019,,,2,True,Klima,6,2,435000.0,Beograd,Dedinje (Beli dvor),https://www.nekretnine.rs/stambeni-objekti/stanovi/mihaila-avramovica-dedinje-id24585/Nktk3bbIvlH/
12892,stan,prodaja,155.0,2019,,,7,,Centralno,5,,418500.0,Beograd,Slavija,https://www.nekretnine.rs/stambeni-objekti/stanovi/centar-slavija-novogradnja-penthouse/Nk5WjPeTbyO/
11697,stan,prodaja,112.0,2019,,,2,,"Centralno, Klima",4,1,385000.0,Beograd,Dedinje (Beli dvor),https://www.nekretnine.rs/stambeni-objekti/stanovi/dedinje-lux-nov-penthaus-112m295m2-terasa-id1617/Nkl8kF0_pG2/
12692,stan,prodaja,112.0,2019,,,5,True,"Centralno, Klima",3,3,385000.0,Beograd,Čubura,https://www.nekretnine.rs/stambeni-objekti/stanovi/vracar-cubura-30-id7292/NkvoXHxP_YD/
8323,stan,prodaja,119.0,2019,,,18,,Centralno,4,,376888.0,Beograd,Beograd na vodi,https://www.nekretnine.rs/stambeni-objekti/stanovi/beograd-na-vodi-arcadia-119m2-xviii-cg-novo/Nk1YlYWTjUBX/
12693,stan,prodaja,112.0,2019,,,4,True,"Centralno, Klima",3,3,375000.0,Beograd,Čubura,https://www.nekretnine.rs/stambeni-objekti/stanovi/vracar-cubura-30-id7291/Nka4MQc7RS0/
12930,stan,prodaja,108.0,2019,,,13,,Centralno,4,,373888.0,Beograd,Beograd na vodi,https://www.nekretnine.rs/stambeni-objekti/stanovi/ekskluzivan-cetvorosoban-stan-u-beogradu-na-vodi/NksgvYB5riy/
12663,stan,prodaja,122.0,2019,,,,,Centralno,3,3,366000.0,Beograd,Čubura,https://www.nekretnine.rs/stambeni-objekti/stanovi/vracar-cubura-30-id5395/Nk0DabSaqUj-/
14688,stan,prodaja,112.0,2019,,,1,True,Klima,4,1,350000.0,Beograd,Voždovac,https://www.nekretnine.rs/stambeni-objekti/stanovi/4-0-vozdovac-fon-ultra-luksuzan-stan-retko-u-prodaji-id1516/NknocuX3dLI/
12923,stan,prodaja,112.0,2019,,,16,True,Centralno,4,,340000.0,Beograd,Beograd na vodi,https://www.nekretnine.rs/stambeni-objekti/stanovi/ekskluzivan-cetvorosoban-stan-u-zgradi-bw-vista-sa-garaznim-mestom/Nk3q_WCYJOb/
12694,stan,prodaja,102.0,2019,,,1,True,"Centralno, Klima",3,3,330000.0,Beograd,Čubura,https://www.nekretnine.rs/stambeni-objekti/stanovi/vracar-cubura-30-id7290/NkJQc6AxNkRh/
11468,stan,prodaja,170.0,2019,,,3,True,,4,,310000.0,Beograd,Voždovac,https://www.nekretnine.rs/stambeni-objekti/stanovi/vozdovac-lekino-brdo-todora-dukina-40-170m2-310000eur/NkcmwehfkOV/
11539,stan,prodaja,167.0,2019,,,2,,Klima,4,2,310000.0,Beograd,Filmski grad,https://www.nekretnine.rs/stambeni-objekti/stanovi/lux-kuce-u-nizu-novogradnja-filmski-grad-garaza-id1239/Nk1QTHB6G2i/
7479,stan,prodaja,127.0,2019,,,3,,Centralno,4,,280000.0,Beograd,Voždovac,https://www.nekretnine.rs/stambeni-objekti/stanovi/vozdovac-autokomanda-vojvode-stepe-40-127m2-280000eur/NkQdSAy4h9_/
7270,stan,prodaja,244.0,2019,,,,True,,5,3,278100.0,Novi Sad,Podbara,https://www.nekretnine.rs/stambeni-objekti/stanovi/bogoboja-atanackovica-podbara-24370m2-id10048/NkSxbN5JlFk/
7497,stan,prodaja,101.0,2019,,,6,True,"Centralno, Klima",4,,277000.0,Beograd,Voždovac,https://www.nekretnine.rs/stambeni-objekti/stanovi/vozdovac-vojvode-stepe-gostivarska-40-101m2-277000eur/NkGtzBLLpys/
12952,stan,prodaja,94.0,2019,,,6,,Centralno,4,,272600.0,Beograd,Slavija,https://www.nekretnine.rs/stambeni-objekti/stanovi/centar-slavija-novogradnja-cetvorosoban/NkKKZg4JI_m/
10242,stan,prodaja,102.0,2019,,,3,True,Samostalno,4,,259900.0,Beograd,Voždovac,https://www.nekretnine.rs/stambeni-objekti/stanovi/102m2-t-vozdovac-stan/Nklc5sbRlta/
14874,stan,prodaja,81.0,2019,,,2,True,"Centralno, Klima",3,2,249000.0,Beograd,Beograd na vodi,https://www.nekretnine.rs/stambeni-objekti/stanovi/beograd-na-vodi-trosoban-uknjizen-id8560/Nkwg4AJCNL3/
14750,stan,prodaja,117.0,2019,,,2,True,,3,2,249000.0,Beograd,Autokomanda,https://www.nekretnine.rs/stambeni-objekti/stanovi/lux-nov-vozdovac-koste-jovanovica-3o-249000-id1610/NkWChUJu24na/
11703,stan,prodaja,124.0,2019,,,5,,"Centralno, Klima",4,1,248000.0,Beograd,Autokomanda,https://www.nekretnine.rs/stambeni-objekti/stanovi/vojvode-stepe-kod-autokomande-id1754/NkyR1_8Q5os/
13002,stan,prodaja,82.0,2019,,,5,,Centralno,3,,244888.0,Beograd,Beograd na vodi,https://www.nekretnine.rs/stambeni-objekti/stanovi/prodajemo-ekskluzivan-trosoban-stan-u-beogradu-na-vodi/Nk6hDeWyz-f/
7516,stan,prodaja,130.0,2019,,,2,True,Samostalno,4,,234000.0,Beograd,Zvezdara,https://www.nekretnine.rs/stambeni-objekti/stanovi/zvezdara-severni-bulevar-veljka-dugosevica-40-130m2-234000eur/Nk2llxs3nnK/
12677,stan,prodaja,91.0,2019,,,3,,"Samostalno, Klima",3,2,227500.0,Beograd,Voždovac,https://www.nekretnine.rs/stambeni-objekti/stanovi/vozdovac-hotel-m-30-id6813/NkhUa1GN13L/
6761,stan,prodaja,94.0,2019,,,4,,Centralno,4,1,226996.0,Beograd,Donji Dorćol,https://www.nekretnine.rs/stambeni-objekti/stanovi/dorcol-gundulicev-venac-id2019/NkDx6PL6lBf/
6720,stan,prodaja,94.0,2019,,,4,,Centralno,4,1,226996.0,Beograd,Gundulićev venac,https://www.nekretnine.rs/stambeni-objekti/stanovi/gundulicev-venac-novogradnja-id1488/NkEB6ja_eMd7/
15542,stan,prodaja,125.0,2019,,,5,,Samostalno,4,2,225000.0,Beograd,Slavujev venac,https://www.nekretnine.rs/stambeni-objekti/stanovi/dimitrija-tucovica-lux-id1298/NkxYuf_bYZG/
13061,stan,prodaja,55.0,2019,,,22,True,Centralno,2,,225000.0,Beograd,Beograd na vodi,https://www.nekretnine.rs/stambeni-objekti/stanovi/beograd-na-vodi-kula-vista-dvosoban-opremljen-stan-sa-garaznim-mestom/NkSpvuyxd-d/
10123,stan,prodaja,139.0,2019,,,,,Samostalno,3,,222400.0,Beograd,Zvezdara,https://www.nekretnine.rs/stambeni-objekti/stanovi/139m2-t-zvezdara-stan/NkSKDc4pmUF/
13051,stan,prodaja,68.0,2019,,,12,,Centralno,3,,212888.0,Beograd,Beograd na vodi,https://www.nekretnine.rs/stambeni-objekti/stanovi/prodajemo-ekskluzivan-trosoban-stan-u-beogradu-na-vodi/NkyWGSYKMAQ/
12678,stan,prodaja,85.0,2019,,,3,,"Samostalno, Klima",3,2,212500.0,Beograd,Voždovac,https://www.nekretnine.rs/stambeni-objekti/stanovi/vozdovac-hotel-m-30-id6814/NkzqFrSj91Y/
14417,stan,prodaja,82.0,2019,,,2,,Centralno,3,2,207460.0,Beograd,Južni bulevar,https://www.nekretnine.rs/stambeni-objekti/stanovi/juzni-bulevar-ii-cg-novogradnja-lux-id1595/NklqAZUas3h/
14418,stan,prodaja,82.0,2019,,,1,,Centralno,3,2,207460.0,Beograd,Južni bulevar,https://www.nekretnine.rs/stambeni-objekti/stanovi/juzni-bulevar-i-cg-novogradnja-lux-id1593/Nk-7roOnNtm/
9128,stan,prodaja,110.0,2019,,,8,True,Centralno,4,3,205700.0,Beograd,Denkova bašta,https://www.nekretnine.rs/stambeni-objekti/stanovi/gospodara-vucica-hillside-penthouse-110m2-cg-uknjizen-id1001/NkmsoIzTRpL/
7488,stan,prodaja,89.0,2019,,,6,,Centralno,3,,204700.0,Beograd,Zvezdara,https://www.nekretnine.rs/stambeni-objekti/stanovi/zvezdara-vukov-spomenik-celopecka-30-89m2-204700eur/Nk3Z0SmD6Oa/
7481,stan,prodaja,88.0,2019,,,6,,Centralno,3,,203690.0,Beograd,Zvezdara,https://www.nekretnine.rs/stambeni-objekti/stanovi/zvezdara-vukov-spomenik-celopecka-30-88m2-203690eur/NkLJzJ9lo5z/
11705,stan,prodaja,100.0,2019,,,5,,"Centralno, Klima",4,1,200000.0,Beograd,Autokomanda,https://www.nekretnine.rs/stambeni-objekti/stanovi/vojvode-stepe-kod-autokomande-id1755/NkpqGZIJ73s/
12906,stan,prodaja,100.0,2019,,,5,True,Samostalno,3,,199000.0,Beograd,Skadarlija,https://www.nekretnine.rs/stambeni-objekti/stanovi/trosoban-stan-u-blizini-skadarlije-i-bajlonijeve-pijace/NkT1um4jVi1/
7526,stan,prodaja,135.0,2019,,,,True,Samostalno,3,,195000.0,Beograd,Zvezdara,https://www.nekretnine.rs/stambeni-objekti/stanovi/zvezdara-severni-bulevar-veljka-dugosevica-30-135m2-195000eur/NkkOqknaWYo/
8398,stan,prodaja,85.0,2019,,,5,True,Centralno,3,,195000.0,Beograd,Crveni krst,https://www.nekretnine.rs/stambeni-objekti/stanovi/kapije-vracara-85m2-v-cg-uknj/NkfUq6wH7zZ/
14770,stan,prodaja,105.0,2019,,,,True,Samostalno,3,1,195000.0,Beograd,Zvezdara,https://www.nekretnine.rs/stambeni-objekti/stanovi/luksuzan-nov-trosoban-stan-kod-zvezdarske-sume-id4503/NkzLZwphFj0/
13024,stan,prodaja,76.0,2019,,,2,,Centralno,3,,190000.0,Beograd,Gornji Dorćol,https://www.nekretnine.rs/stambeni-objekti/stanovi/trosoban-stan-u-novogradnji-na-dorcolu/NkDReYxQOld/
13020,stan,prodaja,76.0,2019,,,2,,,3,,190000.0,Beograd,Gornji Dorćol,https://www.nekretnine.rs/stambeni-objekti/stanovi/trosoban-stan-u-novogradnji-na-dorcolu/NkLjY9eTzhC/
7299,stan,prodaja,78.0,2019,,,3,True,,3,,189582.0,Beograd,Dedinje (RTV Pink),https://www.nekretnine.rs/stambeni-objekti/stanovi/savski-venac-dedinje-mokranjceva-30-78m2-189582eur/NkA_tycWx47/
