realty_id,type,offer_type,square_meters,year_built,land_area,total_floors,floor,registered,heating_type,total_rooms,total_bathrooms,price,city,quarter
1280,stan,prodaja,47.0,,,3.0,1.0,True,,2.0,,60000.0,Beograd,Višnjička banja
1281,stan,prodaja,47.0,,,3.0,1.0,True,,2.0,,60000.0,Beograd,Višnjička banja
1283,stan,prodaja,47.0,,,3.0,1.0,True,,2.0,,60000.0,Beograd,Višnjička banja
1285,stan,prodaja,47.0,,,18.0,2.0,True,,2.0,,73000.0,Beograd,Šumice
1287,stan,prodaja,70.0,,,,,True,Centralno,3.0,,169000.0,Beograd,Vračar (Hram)
1288,stan,prodaja,39.0,,,3.0,,True,Podno,1.0,,39400.0,Beograd,Mirijevo I
1289,stan,prodaja,134.0,2014,,2.0,2.0,True,Centralno,5.0,,,Beograd,Kaluđerica
1290,stan,prodaja,89.0,2007,,,6.0,True,Centralno,3.0,,135000.0,Beograd,Voždovac
1297,stan,prodaja,155.0,,,5.0,2.0,True,,6.0,,490000.0,Beograd,Stari Grad
1300,stan,prodaja,67.0,,,,1.0,True,"Centralno, Klima",3.0,1.0,102000.0,Beograd,Medaković III
1302,stan,prodaja,25.0,1960,,,,True,Samostalno,1.0,1.0,20000.0,Beograd,Surčin
1303,stan,prodaja,25.0,1960,,,,True,Samostalno,1.0,1.0,20000.0,Beograd,Surčin
1306,stan,prodaja,90.0,,,5.0,1.0,True,Centralno,3.0,,163000.0,Beograd,Botanička bašta
1307,stan,prodaja,80.0,,,7.0,3.0,True,Centralno,3.0,,219000.0,Beograd,Novi Beograd Blok 67a
1308,stan,prodaja,100.0,,,5.0,4.0,True,Centralno,3.0,,259900.0,Beograd,Vračar (Centar)
1309,stan,prodaja,78.0,,,5.0,3.0,True,,3.0,,210000.0,Beograd,Kalemegdan
1310,stan,prodaja,76.0,,,8.0,8.0,True,Samostalno,3.0,,65000.0,Beograd,Medaković III
1311,stan,prodaja,44.0,,,4.0,4.0,True,Centralno,2.0,,88000.0,Beograd,Novi Beograd Blok 70 (Kineski TC)
1312,stan,prodaja,70.0,,,19.0,4.0,True,Centralno,4.0,,134900.0,Beograd,Crveni krst
1313,stan,prodaja,171.0,,,4.0,2.0,True,Samostalno,4.0,,479600.0,Beograd,Autokomanda
1325,stan,prodaja,107.0,,,3.0,,True,"Centralno, Klima",4.0,,350000.0,Beograd,Dedinje (Beli dvor)
1326,stan,prodaja,90.0,,,,1.0,True,Centralno,4.0,1.0,185000.0,Beograd,Kalenić pijaca
1329,stan,prodaja,130.0,,,,5.0,True,Centralno,5.0,1.0,205000.0,Beograd,Novi Beograd Blok 25 (Arena)
1330,stan,prodaja,124.0,,,,2.0,True,Centralno,5.0,1.0,307000.0,Beograd,Novi Beograd Blok 25 (Arena)
1331,stan,prodaja,102.0,,,,,True,Samostalno,4.0,1.0,239000.0,Beograd,Kalenić pijaca
1332,stan,prodaja,100.0,,,,2.0,True,Centralno,4.0,1.0,205000.0,Beograd,Vukov spomenik
1333,stan,prodaja,96.0,,,,2.0,True,Centralno,4.0,1.0,150900.0,Beograd,Novi Beograd Blok 70 (Kineski TC)
1334,stan,prodaja,95.0,,,,3.0,True,,2.0,1.0,132500.0,Beograd,Zemun (Gornji grad)
1335,stan,prodaja,85.0,,,,9.0,True,Centralno,4.0,1.0,120000.0,Beograd,Novi Beograd Blok 63
1336,stan,prodaja,65.0,,,,11.0,True,Centralno,4.0,1.0,99999.0,Beograd,Konjarnik
1589,kuca,prodaja,48.0,2017,42.0,,1.0,False,Klima,2.0,,,Zlatibor,
1611,kuca,prodaja,50.0,2020,600.0,4.0,,False,"Samostalno, Klima",,,,Pančevo,Centar
7645,kuca,prodaja,310.0,,310.0,,3.0,False,Klima,5.0,1.0,620000.0,Beograd,Voždovac
1343,stan,prodaja,95.0,,,,3.0,True,,2.0,1.0,132500.0,Beograd,Zemun (Gornji grad)
1344,stan,prodaja,85.0,,,,9.0,True,Centralno,4.0,1.0,120000.0,Beograd,Novi Beograd Blok 63
1345,stan,prodaja,65.0,,,,11.0,True,Centralno,4.0,1.0,99999.0,Beograd,Konjarnik
11273,kuca,prodaja,76.0,2018,76.0,,,False,Klima,3.0,,,Zlatibor,
12996,kuca,prodaja,160.0,,2.4,4.0,,False,Samostalno,3.0,2.0,160000.0,Beograd,Žarkovo
13239,kuca,prodaja,200.0,,4.0,2.0,,False,,5.0,2.0,77000.0,Beograd,Ledine
