realty_id,type,offer_type,square_meters,year_built,land_area,total_floors,floor,registered,heating_type,total_rooms,total_bathrooms,price,city,quarter,webpage
14718,stan,prodaja,650.0,,,,,,,5,1,2500000.0,Beograd,Senjak,https://www.nekretnine.rs/stambeni-objekti/stanovi/moderna-vila-u-rezidencijalnoj-zoni-id105997/Nkk0VYvm08o/
14681,stan,prodaja,260.0,2019,,,,True,Klima,4,2,1500000.0,Beograd,Dedinje (RTV Pink),https://www.nekretnine.rs/stambeni-objekti/stanovi/4-0-dedinje-ultra-luksuzan-nov-stan-top-ponuda--id1461/NkhtFDjjzUn/
14719,stan,prodaja,289.0,,,,2,,,5,1,1500000.0,Beograd,Dedinje (25. maj),https://www.nekretnine.rs/stambeni-objekti/stanovi/lux-vrhunski-kvalitetan-stan-u-pametnoj-zgradi-id105996/NkIoOY6DJBL/
13288,stan,prodaja,256.0,2020,,,11,True,Centralno,5,,1475000.0,Beograd,Novi Beograd Blok 67a,https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-beograd-blok-67a-a-blok-50-256m2-1475000eur/NkpdWrxY3Bh/
10836,stan,prodaja,81.0,,,,,True,,,,1408460.0,Novi Sad,Centar,https://www.nekretnine.rs/stambeni-objekti/stanovi/izuzetna-lokacija/NkrCSP5J0Kw/
10064,stan,prodaja,162.0,,,,14,,Centralno,4,,1338888.0,Beograd,Beograd na vodi,https://www.nekretnine.rs/stambeni-objekti/stanovi/162m2-beograd-na-vodi-stan/NkBXpdnxQQ3/
10082,stan,prodaja,162.0,,,,14,,Centralno,4,,1338888.0,Beograd,Beograd na vodi,https://www.nekretnine.rs/stambeni-objekti/stanovi/162m2-beograd-na-vodi-stan/Nk4bzxwzlzV/
10084,stan,prodaja,156.0,,,,16,,Centralno,4,,1292888.0,Beograd,Beograd na vodi,https://www.nekretnine.rs/stambeni-objekti/stanovi/156m2-beograd-na-vodi-stan/Nk1v-jrOONu/
17870,stan,prodaja,435.0,,654.0,,,,,,,1275000.0,Budva,,https://www.nekretnine.rs/stambeni-objekti/kuce/budva-skocidevojka---kamena-vila-sa-bazenom/NkRlzxcbdPV/
10089,stan,prodaja,151.0,,,,14,,Centralno,4,,1244888.0,Beograd,Beograd na vodi,https://www.nekretnine.rs/stambeni-objekti/stanovi/151m2-beograd-na-vodi-stan/Nkjp6OIJY0U/
10093,stan,prodaja,151.0,,,,14,,Centralno,4,,1240888.0,Beograd,Beograd na vodi,https://www.nekretnine.rs/stambeni-objekti/stanovi/151m2-beograd-na-vodi-stan/NkRkkhx-HwC/
8697,stan,prodaja,400.0,,,,1,True,Samostalno,9,,1200000.0,Beograd,Beograđanka ( centar ),https://www.nekretnine.rs/stambeni-objekti/stanovi/kneza-milosa-400m2-eg-i-i-ii-uknj/NklRRA-wFwd/
10112,stan,prodaja,141.0,,,,16,,Centralno,3,,1193888.0,Beograd,Beograd na vodi,https://www.nekretnine.rs/stambeni-objekti/stanovi/141m2-beograd-na-vodi-stan/NkPITeUeQ70/
10111,stan,prodaja,137.0,,,,16,,Centralno,3,,1189888.0,Beograd,Beograd na vodi,https://www.nekretnine.rs/stambeni-objekti/stanovi/137m2-beograd-na-vodi-stan/NkZRiLp2lIo/
11531,stan,prodaja,425.0,,,,2,True,,7,1,1150000.0,Beograd,Senjak,https://www.nekretnine.rs/stambeni-objekti/stanovi/savski-venac-senjak-retko-u-ponudi--id1602/NkK8rAI28it/
17921,stan,prodaja,350.0,2009,,,2,True,"Centralno, Samostalno, Klima",6,4,1150000.0,Beograd,Crveni krst,https://www.nekretnine.rs/stambeni-objekti/kuce/prodaja-kuce-crveni-krst/NknZaSFp1-d/
10136,stan,prodaja,122.0,,,,16,,Centralno,3,,1050888.0,Beograd,Beograd na vodi,https://www.nekretnine.rs/stambeni-objekti/stanovi/122m2-beograd-na-vodi-stan/NkH4fTijDka/
7235,stan,prodaja,157.0,,,,1,True,"Centralno, Samostalno, Klima",3,,1050000.0,Budva,,https://www.nekretnine.rs/stambeni-objekti/stanovi/dukley-gardens-budva-luksuzni-stan-na-1-redu/Nk3_oku6AA6/
10133,stan,prodaja,122.0,,,,16,,Centralno,3,,1033888.0,Beograd,Beograd na vodi,https://www.nekretnine.rs/stambeni-objekti/stanovi/122m2-beograd-na-vodi-stan/Nkn-BWZUL3V/
10810,stan,prodaja,122.0,,,,16,,Centralno,3,,1033888.0,Beograd,Beograd na vodi,https://www.nekretnine.rs/stambeni-objekti/stanovi/122-m2-stan-beograd-na-vodi-agencijski-id-13212/Nkg2s6xjm9n/
