realty_id,type,offer_type,square_meters,year_built,land_area,total_floors,floor,registered,heating_type,total_rooms,total_bathrooms,price,city,quarter,webpage
6062,stan,izdavanje,380.0,2005,,3,3,,Podno,,,1000000.0,Beograd,Voždovac,https://www.nekretnine.rs/stambeni-objekti/stanovi/izuzetan-penthouse-sa-bazenom-u-bulevaru-oslobodenja/NklR_srbwX6/
5766,stan,izdavanje,168.0,2007,,3,3,True,Centralno,,,499000.0,Beograd,Dedinje (Beli dvor),https://www.nekretnine.rs/stambeni-objekti/stanovi/izuzetan-stan-50-na-prestiznoj-lokaciji-dedinje/NkItDF2dBS/
5423,stan,izdavanje,245.0,,,2,,True,Centralno,5,,470000.0,Beograd,Dedinje (Beli dvor),https://www.nekretnine.rs/stambeni-objekti/stanovi/50-miloja-daka-dedinje-245m2/NkIwVwk0BTM/
2513,stan,izdavanje,29.0,,,6,3,True,Centralno,1,1,120000.0,Kopaonik,,https://www.nekretnine.rs/stambeni-objekti/stanovi/luksuzno-opremljen-apartman-u-centru-kopaonika/NkgUwPQHzaq/
3183,stan,izdavanje,60.0,,,,,True,,,,100000.0,Beograd,Banovo brdo,https://www.nekretnine.rs/stambeni-objekti/stanovi/test-2/Nk-5Gt_hoOI/
3437,stan,izdavanje,62.0,,,,2,True,Centralno,3,,92600.0,Novi Sad,Detelinara nova,https://www.nekretnine.rs/stambeni-objekti/stanovi/odlican-trosoban-stan-na-novoj-detelinari-/NkdOrjTaAT8/
5620,stan,izdavanje,49.0,,,,8,True,"Centralno, Klima",2,,73500.0,Novi Sad,Liman 3,https://www.nekretnine.rs/stambeni-objekti/stanovi/liman-3-kompletno-renoviran-50mkv-73500e/NkE8-reWtQO/
2499,stan,izdavanje,48.0,,,,,,Centralno,,,60350.0,Novi Sad,Petrovaradin,https://www.nekretnine.rs/stambeni-objekti/stanovi/nov-dvoiposoban-stan-povrat-pdv-a/NkaDgsI2xJk/
5705,stan,izdavanje,76.0,,,,2,,Centralno,3,,35000.0,Novi Sad,Veternik,https://www.nekretnine.rs/stambeni-objekti/stanovi/hitna-prodaja-novi-sad-adice-trosoban-dupleks-ne-dovrsen-76m2-36000-e/NkAgLRkHdj/
1648,stan,izdavanje,500.0,,,,1,,,4,1,7500.0,Beograd,Dedinje (25. maj),https://www.nekretnine.rs/stambeni-objekti/stanovi/dedinje-500m2-id27686/Nkc8MRlfpzT/
