realty_id,type,offer_type,square_meters,year_built,land_area,total_floors,floor,registered,heating_type,total_rooms,total_bathrooms,price,city,quarter,webpage
16221,kuca,izdavanje,230.0,,,4,,True,Centralno,5,,500000.0,Beograd,Bežanijska kosa I,https://www.nekretnine.rs/stambeni-objekti/kuce/porodicna-kuca-na-bezanijskoj-kosi/NkplrXvuKBc/
18128,kuca,izdavanje,1100.0,,,,,,,,,14600.0,Beograd,Kalemegdan,https://www.nekretnine.rs/stambeni-objekti/kuce/stari-grad-kalemegdan-kuca-1100m2/Nkmnpju6jPd/
18168,kuca,izdavanje,1700.0,,,,-1,,"Samostalno, Klima",14,6,12500.0,Beograd,Centar (uži),https://www.nekretnine.rs/stambeni-objekti/kuce/40118-izdavanje-kuca-slavija-12500-eur/NkUZs8Y0VCJ/
18774,kuca,izdavanje,1250.0,,,,-1,,"Samostalno, Klima",7,7,12000.0,Beograd,Dedinje (RTV Pink),https://www.nekretnine.rs/stambeni-objekti/kuce/39184-izdavanje-kuca-dedinje-12000-eur/1964975/
17767,kuca,izdavanje,826.0,,1112.0,4,,,,7,,12000.0,Beograd,Senjak,https://www.nekretnine.rs/stambeni-objekti/kuce/luksuzna-kuca-na-senjaku/Nk8v1vQPMOF/
18427,kuca,izdavanje,600.0,,,,3,True,Samostalno,5,5,10000.0,Beograd,Savski venac,https://www.nekretnine.rs/stambeni-objekti/kuce/dedinje-neznanog-junaka-102/NkieK9c5vfZ/
18572,kuca,izdavanje,700.0,2018,,,,,"Centralno, Klima",,,10000.0,Beograd,Vračar (Hram),https://www.nekretnine.rs/stambeni-objekti/kuce/nova-zgrada-u-srcu-vracara/244698/
17904,kuca,izdavanje,826.0,2019,,,2,True,,7,,10000.0,Beograd,Senjak,https://www.nekretnine.rs/stambeni-objekti/kuce/luksuzna-moderna-vila-senjak/NkjP8vwzaLD/
20214,kuca,izdavanje,1000.0,,,,,,Centralno,10,12,10000.0,Beograd,Višnjička banja,https://www.nekretnine.rs/stambeni-objekti/kuce/palilula-visnjicka-banja-1000m2-id8214/NknhHMfjXQK/
19961,kuca,izdavanje,1200.0,,,,,,,6,,10000.0,Beograd,Dedinje (RTV Pink),https://www.nekretnine.rs/stambeni-objekti/kuce/savski-venac-dedinje-milutina-ivkovica-60-1200m2-10000eur/NkNvjbdiapI/
18129,kuca,izdavanje,800.0,,,,,,,,,9600.0,Beograd,Centar (uži),https://www.nekretnine.rs/stambeni-objekti/kuce/stari-grad-kalemegdan-kuca-800m2/NkYOip50Edy/
21498,kuca,izdavanje,650.0,,,,-1,,Centralno,21,10,9000.0,Beograd,Centar (uži),https://www.nekretnine.rs/stambeni-objekti/kuce/25630-izdavanje-kuca-dorcol-9000-eur/NkclY63vDj8/
18379,kuca,izdavanje,650.0,,,,-1,,"Samostalno, Klima",15,8,8200.0,Beograd,Voždovac,https://www.nekretnine.rs/stambeni-objekti/kuce/27753-izdavanje-kuca-vozdovac-8200-eur/Nk42dI32roR/
18788,kuca,izdavanje,1000.0,,11.0,,,,,7,,8000.0,Beograd,Dedinje (RTV Pink),https://www.nekretnine.rs/stambeni-objekti/kuce/ekskluzivna-vila-na-dedinju--retko-u-ponudi-/2061071/
17908,kuca,izdavanje,750.0,,3.0,,,,,8,,8000.0,Beograd,Senjak,https://www.nekretnine.rs/stambeni-objekti/kuce/senjak-nova-kuca-750m2-id-3904/Nkr7h3nCC2f/
18782,kuca,izdavanje,1000.0,,,,-1,,"Samostalno, Klima",6,6,8000.0,Beograd,Dedinje (RTV Pink),https://www.nekretnine.rs/stambeni-objekti/kuce/35937-izdavanje-kuca-dedinje-8000-eur/1866148/
21710,kuca,izdavanje,550.0,,,,,,Samostalno,,,8000.0,Beograd,Stari Grad,https://www.nekretnine.rs/stambeni-objekti/kuce/knez-mihailova-kneginje-ljubice/NkoAGwwP446/
20769,kuca,izdavanje,1000.0,,1000.0,,,,"Centralno, Klima",10,4,7500.0,Beograd,Topčider,https://www.nekretnine.rs/stambeni-objekti/kuce/vajara-doke-jovanovica-id13124/1181573/
18084,kuca,izdavanje,600.0,,,,,,Samostalno,,,7000.0,Beograd,Senjak,https://www.nekretnine.rs/stambeni-objekti/kuce/senjak-600m2-10a-plac-id-3609/NkflRnYjnk5/
