realty_id,type,offer_type,square_meters,year_built,land_area,total_floors,floor,registered,heating_type,total_rooms,total_bathrooms,price,city,quarter,webpage
6644,stan,prodaja,81.73,,,,,,Podno,,,,Beograd,Savski venac,https://www.nekretnine.rs/stambeni-objekti/stanovi/troiposoban-stan/Nk7UbENSlfa/
6645,stan,prodaja,105.18,,,,,,Podno,,,,Beograd,Savski venac,https://www.nekretnine.rs/stambeni-objekti/stanovi/trosoban-stan/NkhCLeIDrIm/
6226,stan,prodaja,61.0,,,4,3,True,,2,,78000.0,Beograd,Braće Jerković,https://www.nekretnine.rs/stambeni-objekti/stanovi/brace-jerkovic-zaplanjska-61m2/Nk61BUlx0vn8/
6171,stan,prodaja,40.0,,,,1,True,Centralno,,,72000.0,Beograd,Novi Beograd Blok 11 (Hotel Jugoslavija),https://www.nekretnine.rs/stambeni-objekti/stanovi/hotel-yu-palmira-toljatija-odlicna-ponuda-40m2-sa-terasom-5m2/Nkyx-wO-skZ/
6172,stan,prodaja,160.0,,,3,3,True,Centralno,,,180000.0,Beograd,Vračar (Centar),https://www.nekretnine.rs/stambeni-objekti/stanovi/povoljna-ponuda-vracar-dupleks-40-odlican-uknjizen-160m2/NkI0S6518r/
6173,stan,prodaja,52.0,,,4,,True,Samostalno,,,117000.0,Beograd,Vračar (Centar),https://www.nekretnine.rs/stambeni-objekti/stanovi/vracar-crveni-krst-lep-uknjizen-salonski-stan-52m/Nku79jMjwm_/
6174,stan,prodaja,38.0,,,7,5,True,Centralno,2,,82500.0,Beograd,Savski venac,https://www.nekretnine.rs/stambeni-objekti/stanovi/durmitorska-prodaje-se-lep-10-stan-38m2-na-57-spratu/Nkqb8NW3s_I/
6175,stan,prodaja,48.0,,,3,1,,,3,,50400.0,Beograd,Mirijevo I,https://www.nekretnine.rs/stambeni-objekti/stanovi/mirjevo-prodaje-se-lep-dvoiposoban-stan-u-izgradnji-od-48m2-na-13-spratu-terasa-eg-lift-povracaj-pdv/NkJrA3xTBN3/
6176,stan,prodaja,47.0,,,18,2,True,,2,,73000.0,Beograd,Šumice,https://www.nekretnine.rs/stambeni-objekti/stanovi/prodaje-se-lep-1-5-stan-od-47m2-na-drugom-spratu-u-sumicama/NkDSWzAJkhS/
6177,stan,prodaja,49.0,,,3,,,,3,,51450.0,Beograd,Mirijevo I,https://www.nekretnine.rs/stambeni-objekti/stanovi/mirjevo-prodaje-se-2-5-stan-u-izgradnji-na-vp3-spratu-49m2/NkMTHKIm6bu/
6178,stan,prodaja,64.0,,,6,3,True,Centralno,2,,118000.0,Beograd,Novi Beograd Blok 45 (TC Enjub),https://www.nekretnine.rs/stambeni-objekti/stanovi/blok-45-mali-soliter-do-save-64lodja-direktan-pogled-na-savu-juzna-strana-useljiv-renoviran/NkrZlNmay3b/
6179,stan,prodaja,72.0,,,6,3,True,Centralno,3,,120000.0,Beograd,Bežanijska kosa II,https://www.nekretnine.rs/stambeni-objekti/stanovi/kod-pijace-sredjen-6422-nije-poslednji-sprat/NkSnkvUE8hf/
6180,stan,prodaja,48.4,,,5,5,,"Samostalno, Klima",2,1,42999.0,Beograd,Borča III,https://www.nekretnine.rs/stambeni-objekti/stanovi/nov-stan-u-centru-borce--vlasnik-direktno/Nk9Y_IVdq4Q/
6182,stan,prodaja,99.0,,,6,1,True,Centralno,4,,247000.0,Beograd,Savski venac,https://www.nekretnine.rs/stambeni-objekti/stanovi/odlican-stan-u-savskoj-ulici/NkqlKaAPAER/
6184,stan,prodaja,154.0,,,4,4,True,Centralno,5,,210000.0,Beograd,Vračar (Centar),https://www.nekretnine.rs/stambeni-objekti/stanovi/hitno-pozarevacka-50-154m2-lux-duplex-penthouse-1360-eurm2-/Nk52UijSIFF/
6185,stan,prodaja,102.0,,,5,3,True,Centralno,4,,220000.0,Beograd,Vračar (Centar),https://www.nekretnine.rs/stambeni-objekti/stanovi/opstina-vracar-ul-hadzi-prodanova/Nk2J8DmIb2e/
6187,stan,prodaja,100.0,,,5,1,True,Centralno,,,259000.0,Beograd,Kalemegdan,https://www.nekretnine.rs/stambeni-objekti/stanovi/kalemegdan-cara-urosa-dobar-30-stan-na-odlicnj-lokaciji-100m2/NkJ5-QC0wPo/
6188,stan,prodaja,105.0,,,4,4,True,Samostalno,4,,150000.0,Beograd,Kalemegdan,https://www.nekretnine.rs/stambeni-objekti/stanovi/odlicna-ponuda-kalemegdan-dobar-uknjizen-stan-40-105m2/Nkehyom-MVa/
6189,stan,prodaja,35.0,1948,,,,,Samostalno,1,,56000.0,Beograd,Dušanovac,https://www.nekretnine.rs/stambeni-objekti/stanovi/vozdovac-dusanovac-ljube-nedica-35m2-ljube-nedica/NkrAE5WhsSZ/
6190,stan,prodaja,87.0,,,,4,True,Centralno,3,,229000.0,Beograd,Trg Republike ( centar ),https://www.nekretnine.rs/stambeni-objekti/stanovi/stari-grad-trg-republike-87m2/Nkbc-FBNXSQ/
6191,stan,prodaja,54.0,1968,,,,True,"Centralno, Klima",2,,126000.0,Beograd,Kalenić pijaca,https://www.nekretnine.rs/stambeni-objekti/stanovi/vracar-kalenic-pijaca-tomasa-jeza-54m2-tomasa-jeza/NkwVrZtgrbW/
6192,stan,prodaja,59.0,2019,,,1,,Samostalno,3,,113000.0,Beograd,Autokomanda,https://www.nekretnine.rs/stambeni-objekti/stanovi/vozdovac-autokomanda-borisavljeviceva-59m2-borisavljeviceva/NkxwUPBBw4m/
6227,stan,prodaja,54.0,,,4,4,True,,2,,62000.0,Beograd,Mirijevo I,https://www.nekretnine.rs/stambeni-objekti/stanovi/mirijevo-mirijevski-bulevar-54m2--parking-mesto/Nkn71Ph-1ZZ/
6193,stan,prodaja,55.0,,,,5,True,Centralno,3,,110000.0,Beograd,Lipov lad,https://www.nekretnine.rs/stambeni-objekti/stanovi/zvezdara-crveni-krst-branka-krsmanovica-55m2-branka-krsmanovica/Nka88os8n3b/
6194,stan,prodaja,50.0,1974,,,7,True,Centralno,2,,92000.0,Beograd,Novi Beograd Blok 11c (Stari Merkator),https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-beograd-stari-merkator-otona-zupancica-50m2-otona-zupancica/NkBPMG2f1R-/
6195,stan,prodaja,35.0,2010,,,1,True,Samostalno,1,,57000.0,Beograd,Lekino brdo,https://www.nekretnine.rs/stambeni-objekti/stanovi/vozdovac-lekino-brdo-belicka-35m2-belicka/NkELT4UAU5J/
6196,stan,prodaja,76.0,,,,2,True,Centralno,2,,98000.0,Beograd,Novi Beograd Blok 61,https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-beograd-blok-61-jurija-gagarina-76m2-jurija-gagarina/NkkyT6vb7CX/
6197,stan,prodaja,68.0,,,,3,True,Centralno,2,,99990.0,Beograd,Novi Beograd Blok 71,https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-beograd-blok-71-dr-ivana-ribara-68m2-dr-ivana-ribara/NkooV2l6Dio/
6198,stan,prodaja,107.0,,,,2,True,Samostalno,4,,230000.0,Beograd,Vračar (Centar),https://www.nekretnine.rs/stambeni-objekti/stanovi/vracar-centar-krunska-107m2-krunska/NkXBZvOwy-0/
6199,stan,prodaja,70.0,,,,11,True,Centralno,2,,99000.0,Beograd,Novi Beograd Blok 30 (B92),https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-beograd-blok-30-bulevar-zorana-dindica-70m2-bulevar-zorana-dindica/NkcGawOSgrV/
6200,stan,prodaja,45.0,1968,,,5,True,Centralno,1,,86000.0,Beograd,Novi Beograd Blok 44 (Piramida),https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-beograd-blok-44-tc-piramida-gandijeva-45m2-gandijeva/NkuxjW6FgHj/
6201,stan,prodaja,75.0,1978,,,5,True,Centralno,3,,140000.0,Beograd,Novi Beograd Blok 22,https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-beograd-blok-22-milentija-popovica-75m2-milentija-popovica/Nk4ohAMKFZ/
6202,stan,prodaja,50.0,2003,,,4,True,Centralno,2,,108000.0,Beograd,Tašmajdan,https://www.nekretnine.rs/stambeni-objekti/stanovi/palilula-tasmajdan-vladetina-50m2-vladetina/NkntMkT4deS/
6203,stan,prodaja,43.0,1999,,,3,True,Centralno,1,,75000.0,Beograd,Banovo brdo,https://www.nekretnine.rs/stambeni-objekti/stanovi/cukarica-banovo-brdo-ivice-devcica-43m2-ivice-devcica/Nkc55HqHpVT/
6204,stan,prodaja,70.0,1976,,,1,True,Centralno,2,,145000.0,Beograd,Novi Beograd Blok 30 (B92),https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-beograd-blok-30-bulevar-umetnosti-70m2-bulevar-umetnosti/NkTPCwvjAhE/
6205,stan,prodaja,37.0,1958,,,2,True,"Samostalno, Klima",2,,95000.0,Beograd,Kalenić pijaca,https://www.nekretnine.rs/stambeni-objekti/stanovi/vracar-kalenic-pijaca-niska-37m2-niska/NkUMuMO1ED4/
6206,stan,prodaja,85.0,,,,9,True,Centralno,3,,120000.0,Beograd,Novi Beograd Blok 63,https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-beograd-blok-63-jurija-gagarina-85m2-jurija-gagarina/NkjZdI54li/
6207,stan,prodaja,88.0,1994,,,4,True,Centralno,4,,165000.0,Beograd,Kalemegdan,https://www.nekretnine.rs/stambeni-objekti/stanovi/stari-grad-kalemegdan-visokog-stevana-88m2-visokog-stevana/NkHOQMqQwe7/
6208,stan,prodaja,18.0,,,,,True,Centralno,,,42500.0,Beograd,Profesorska kolonija,https://www.nekretnine.rs/stambeni-objekti/stanovi/palilula-profesorska-kolonija-bistricka-18m2-bistricka/NkDFdqC8XHO/
6209,stan,prodaja,113.0,,,,4,,Samostalno,5,,210000.0,Beograd,Banjica,https://www.nekretnine.rs/stambeni-objekti/stanovi/vozdovac-fon-bose-milicevic-113m2-bose-milicevic/NkwmhF2d9Az/
6210,stan,prodaja,78.0,1937,,,3,True,"Centralno, Samostalno",3,,170000.0,Beograd,Beograđanka ( centar ),https://www.nekretnine.rs/stambeni-objekti/stanovi/stari-grad-london-dobrinjska-78m2-dobrinjska/NkAE2pO3y7S/
6211,stan,prodaja,83.0,2012,,,,True,Centralno,3,,130000.0,Beograd,Voždovac,https://www.nekretnine.rs/stambeni-objekti/stanovi/vozdovac-stepa-stepanovic-generala-stefanika-83m2-generala-stefanika/Nk03VSNR2_M/
6212,stan,prodaja,71.0,,,,2,True,Klima,2,,140000.0,Beograd,Dedinje (Beli dvor),https://www.nekretnine.rs/stambeni-objekti/stanovi/savski-venac-dedinje-mihaila-avramovica-71m2-mihaila-avramovica/NkfYVPYDePY/
6213,stan,prodaja,51.0,,,,2,True,Centralno,2,,155000.0,Beograd,Palilula,https://www.nekretnine.rs/stambeni-objekti/stanovi/palilula-central-garden-stanoja-glavasa-51m2-stanoja-glavasa/NkT9LC011Qm/
6214,stan,prodaja,101.0,1968,,,4,True,Centralno,4,,185000.0,Beograd,Zemun (Cara Dušana),https://www.nekretnine.rs/stambeni-objekti/stanovi/zemun-centar-karadordev-trg-101m2-karadordev-trg/NkSDWXyVho6/
6215,stan,prodaja,50.0,1927,,,2,True,Samostalno,2,,110000.0,Beograd,Zeleni venac,https://www.nekretnine.rs/stambeni-objekti/stanovi/savski-venac-zeleni-venac-kraljice-natalije-50m2-kraljice-natalije/NkWz0VFH3e/
6216,stan,prodaja,38.0,1962,,,2,True,Samostalno,1,,62000.0,Beograd,Bežanija,https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-beograd-stara-bezanija-zemunska-38m2-zemunska/NkB3tECFPFw/
6217,stan,prodaja,72.0,,,,7,True,Centralno,3,,75000.0,Beograd,Miljakovac I,https://www.nekretnine.rs/stambeni-objekti/stanovi/rakovica-miljakovac-i-bogdana-zerajica-72m2-bogdana-zerajica/NkCOUjKiL7m/
6218,stan,prodaja,120.0,,,6,1,True,Centralno,4,,305000.0,Beograd,Vračar (Hram),https://www.nekretnine.rs/stambeni-objekti/stanovi/vracar-hram-nebojsina-120m2-sa-velikim-parking-mestom-u-garazi-zgrade-novo-lux/Nk0ETChTCec/
